clean_text,translated_text,subjektivitas,polaritas,sentimen
tolong ya pihak gojek saya mau transfer ke bank gagal terus.katanya rekening penerima bermasalah aku coba kirim ke bank lainnya sama aja .padahal pihak penerima bilang rekening bank nya ngga pa2 katanya. pertama kirim dulu bisa sekarang gagal terus,"please, gojek, i want to transfer to a bank, it keeps failing. it says the recipient's account has a problem. i tried sending it to another bank, it's the same. even though the recipient said the bank account was fine, he said. first send it first but now it keeps failing",0.32291666666666663,0.22916666666666669,positif
oke gojek datang sesuai tempat dan cepat sekali,"ok, gojek arrived at the right place and very fast",0.6052380952380952,0.3485714285714286,positif
ok banget.,very okay.,0.65,0.65,positif
chat di resto tidak bisa kalo gak dapet driver nunggu makannya lama,"you can't chat at a restaurant if you don't have a driver, waiting for a long time to eat",0.4,-0.05,negatif
saya sudah beberapa kali menggunakan aplikasi gojek dan selalu titik mapnya tidak benar! sedangkan klu gofood titiknya bisa ditemukan padahal alamat pengiriman dan titik selalu sama. mohon diperbaiki lagi dan saya sudah memberikan izin akses pada map,i've used the gojek application several times and the map point always isn't correct! whereas if you gofood you can find the point even though the delivery address and point are always the same. please fix it again and i have given access permission to the map,0.0625,0.0,netral
bagus cepat tepat,"good, fast and accurate",0.6111111111111112,0.43333333333333335,positif
baeli makanan dan minuman jadi cepat,buy food and drinks quickly,0.5,0.3333333333333333,positif
istimewa,special,0.5714285714285714,0.35714285714285715,positif
ayolah sering sering ngasih diskon,"come on, give discounts often",0.0,0.0,netral
tidak bisa membedakan mana order fiktif & driver yg benar² mengikuti tataterib jek. 😤 saya kecewa karna saya membatalkan orderan berdasarkan keadaan bukan rekayasa tp masih saja performa saya berkurang. 😔 tolong perbaiki sistemnya. 🙏,can't tell the difference between a fictitious order and a driver who really follows the jek's rules. 😤 i'm disappointed because i canceled the order based on non-artificial circumstances but my performance still decreased. 😔 please fix the system. 🙏,0.5499999999999999,-0.3166666666666667,negatif
"gajelas. gaada solusi buat customer. merugikan customer. jelas jelas salah restonya. gmn si yg bijak dong. beli di go food. resto salah kirim pesenan, dikomplainkan ke cs malah dibalikin 6k doang, cs nya juga bodoamat bgt. galagi deh order. kalo ada masalah ga ada solusi bgt yg mihak customer. dikira ongkir ke rumah saya murah apa.","not clear. there is no solution for customers. detrimental to customers. it's clearly the restaurant's fault. what about the wise one? buy at go food. the restaurant sent the wrong order, complained to the cs, but they only refunded 6k, the cs was also very stupid. don't order anymore. if there is a problem, there is no real solution on the part of the customer. i think shipping to my house is cheap.",0.6407407407407407,-0.08333333333333334,negatif
gojek aplikasinya makin mantap ngga ribet pokoknya ok👍,"gojek's application is getting better, it's not complicated, just ok👍",0.75,0.375,positif
goor job,goor job,0.0,0.0,netral
"saya memesan gocar hemat, tetapi driver tidak merespon sesudah saya chat dan telpon juga tidak diangkat, saya dibiarkan menunggu setengah jam hingga akhirnya saya cancel, sy pesan gocar hemat berikutnya juga sama, saya mau complaint ke gojek tapi tidak ada opsi complaint maupun customer service","i ordered a budget gocar, but the driver didn't respond after i chatted and he didn't pick up the phone, i was left waiting for half an hour until i finally cancelled, i ordered the next budget gocar which was the same, i wanted to complain to gojek but there was no complaint or customer service option",0.24861111111111112,-0.002777777777777777,negatif
pagus,village,0.0,0.0,netral
lumayan,reasonable,0.6,0.2,positif
sangat membantu,very helpful,0.3,0.2,positif
jgn iklan mulu ganggu aja.,don't just bother advertising.,0.0,0.0,netral
"alhamdulillah dengan adanya gojek (gofood) mempermudah hajad kami mengirimkan makanan ke anak yang sedang nyantri di luar kota dengan cepat, tepat waktu. terima kasih kepada para driver semoga barokah. 🤲☺️","thank god, the existence of gojek (gofood) makes it easier for us to send food to children who are waiting in line outside the city quickly, on time. thank you to the drivers, good luck. 🤲☺️",0.38333333333333336,0.3444444444444444,positif
"suka bangeet, belom pernah dapet driver yang aneh² terus seruu kalo di ajak ngomong apa lagi saya anak sekolahan yang suka cerita, jadi relate dehh","i like bangeet, i've never had a strange driver. it's always fun when you ask me to say what else. i'm a schoolboy who likes stories, so i can relate.",0.175,0.125,positif
nyaman,comfortable,0.8,0.4,positif
aplikasi pengaruh banget klu misal nya malas di rumah mending jalan jalan ke mana,"the application really has an impact, for example, if you're lazy at home, it's better to go somewhere",0.5666666666666667,0.15,positif
makin susah dapet driver,it's getting harder to get drivers,0.0,-0.1,negatif
mantap,solid,0.1,0.0,netral
selalu gercep dimanapun😍😍,always fast wherever 😍😍,0.6,0.2,positif
aplikasi ngga jelas order driver dapatnya jauh2 mending aplikasi maxim indriver,"the application is not clear when ordering a driver, it's better to get the maxim indriver application",0.44166666666666665,0.225,positif
gitu,like that,0.0,0.0,netral
banyak promo ongkir + semua driver ramah.,lots of postage promotions + all drivers are friendly.,0.5,0.375,positif
mengganggu sekali,very annoying,1.0,-1.0,negatif
tolong ya pihak gojek jangan terlalu bela custemer terus...kalian tu jangan liat komen driver di salahin terus..jika custemer sengaja komen tidak baik kalian mau tanggung jawab...manusiawi lah jangan dikit2 suspend sanksi ke mitra driver...tanpa driver apa bisa jalan....,"please, gojek, don't defend your customers too much... don't look at the driver's comments and blame them... if the customer deliberately makes a bad comment, you want to take responsibility... be humane, don't suspend the sanctions for the driver partner... without the driver. can it run....",0.43333333333333335,-0.24999999999999992,negatif
mantap,solid,0.1,0.0,netral
kebanyakan driver gojek pada ramah,most gojek drivers are friendly,0.5,0.4375,positif
okk,ok,0.5,0.5,positif
"parah banget sekarang gocar ya,,pada gak mau di ambil padahal dimaps titiknya banyak mobil,tapi malah pilih pilih orderan,nunggu setengah jam gak ada yang mau ambil sama sekali,tolong pihak gojek dicek driver yang suka milih milih orderan :(","it's really bad now that gojek doesn't want to take it even though there are lots of cars on the map, but instead they choose to pick up orders, wait half an hour and no one wants to take it at all, please check with gojek for drivers who like to pick and choose orders :(",0.4833333333333333,-0.35416666666666663,negatif
"mapnya sering ngaco, nyusahin driver sama penumpangnya.","the map is often confusing, making it difficult for the driver and passengers.",0.7,-0.4,negatif
josss,joss,0.0,0.0,netral
cepat ...waktu jemput,fast...pick up time,0.0,0.0,netral
"apa sih, udah jelas2 alamat nya udah ku buat dan sering ku pake, kok tiba2 ke ganti sendiri, akhirnya bayar lagi kan buat gofood 😡😡😡. gak usah gonta ganti lah, sok ngide lu","what's the matter, the address is already clear, i made it and i use it often, why did i suddenly have to change it myself, i ended up paying again for gofood 😡😡😡. you don't have to go and change it, it's good for you",0.49444444444444446,0.26666666666666666,positif
"mau di bekukan 100 tahun juga saya ngak akan rugi, malah untung, andalah yang rugi kehilangan nasabah seperti saya","if i want to freeze it for 100 years, i won't lose, i'll even make a profit, it's you who will lose by losing customers like me",0.0,0.0,netral
murah ongkos nya,the cost is cheap,0.7,0.4,positif
satsettt,bet,0.0,0.0,netral
ok,ok,0.5,0.5,positif
"cepat, tapi masukkan alamat sering tak sesuai gps","fast, but entering the address often doesn't match the gps",0.6,0.2,positif
best lah,it's the best,0.3,1.0,positif
"bagus banget bahhh! bisa trasportasi,makanan pokokemantep","really good ahhh! can transport, staple food is stable",0.6000000000000001,0.875,positif
ma mantap pokoknya,ma'am it's really good,0.6000000000000001,0.7,positif
cukup puas bintangnya 4 dulu,quite satisfied with 4 stars first,0.6666666666666666,0.375,positif
aplikasi ini sangat menganggu terlalu banyak iklan waktu buak hp...sangat sangat menganggu,"this application is very annoying, too many advertisements when opening the cellphone...very very annoying",0.8333333333333334,-0.5,negatif
"sudah lama pake gojek baru beri ulasan sekarang maaf ya🤭,, aplikasinya bagus mantaaaap memudahkan kita untuk transportasi","i've been using gojek for a long time, i'm just giving a review now, sorry 🤭, the application is really good, it makes transportation easier for us",0.6666666666666666,0.04999999999999997,positif
"ayo ada fitur batalkan pesanan,masa cuma tertekan gk bisa di batalkan","come on, there's a cancel order feature, when you're just stressed, you can't cancel it",0.0,0.0,netral
👍,👍,0.0,0.0,netral
driver cancel mulu bikin kesall,driver cancel mulu bikin kesall,0.0,0.0,netral
aman dan terjamin saldo gojek,safe and secure gojek balance,0.55,0.45,positif
cepet aman kenapa napa kalo turu ya ber 2 gk sendirian,"fast and safe, why is it that if you sleep together, you don't sleep alone?",0.55,0.35,positif
"kecewa sih sama goride, hemat sama reguler tetep aja gada bedanya, harusnya yang reguler untuk motor mesin 150cc keatas kaya vario, pcx, nmax, dan hemat kategori 125cc kebawah, aku bayar lebih ke reguler untuk mendapatkan motor kecil, seriosly?, sempit bgt, kalo misalkan pesen gocar kitanya lagi buru2 bisa kena macet, jadi tolong dikasi kategori motornya!","i'm really disappointed with goride, saving on regular and regular but there's no difference, the regular should be for 150cc motorbikes and above like vario, pcx, nmax, and saving on the 125cc category and below, i pay more for regular to get a small motorbike, seriously?, really narrow, for example, if we order a go-car in a hurry, we might get stuck in traffic, so please give us the motorbike category!",0.27307692307692305,-0.08333333333333333,negatif
bagus dan gampang,nice and easy,0.9166666666666667,0.5166666666666666,positif
ramah,ramah,0.0,0.0,netral
terimakasih 🙏👍,thank you 🙏👍,0.0,0.0,netral
hapus.,happy,1.0,0.8,positif
banyakk diskonn nyaa,lots of discounts,0.0,0.0,netral
gojek ada kapan aja dan dimana aja,gojek is available anytime and anywhere,0.4,0.4,positif
go food nya benerin,go food fix it,0.0,0.0,netral
bermanfaat sekali aplikasi gojek ini.,this gojek application is very useful.,0.0,0.39,positif
lebih banyakin promo nya hehe,more promotions hehe,0.5,0.5,positif
"merasa di php sama gojek. ini sistemnya gimana si,di maap ada 9 driver terdekat di skitar anda. tpi begitu sudah order dapetnya driver jauh"" mana 1km lebih dapet drivernya. makin kesini makin kacau...","i feel like i'm on php and gojek. what's the system like, sorry, there are 9 drivers nearby in your area. but when i ordered, i got a driver far away, 1km more than i got a driver. the more it gets here, the more chaotic it gets...",0.7,0.22000000000000003,positif
terima kasih banyak. dengan adanya aplikasi ini saya sangat terbantu,thank you very much. with this application it really helped me,0.23,0.23,positif
good job banyakin promo d aplikasinya ...semuanya ..,"good job, lots of promos on the application...everything..",0.6000000000000001,0.7,positif
sangat membantu,very helpful,0.3,0.2,positif
"sangat membantu ya bagi kaum rebahan,🥰","very helpful for lay people, 🥰",0.3,0.2,positif
"jika iklan terlalu bnyk tidak menyetujui,😡 jika tidak iklan di saya kan sya tidak butuh jgn iklan karena ini wa saya sering masuk2 iklan g jelas ini 😡😡😡🤬","if there are too many ads, don't agree, 😡 if you don't advertise on me, i don't need no ads because on this wa i often get these unclear ads 😡😡😡🤬",0.5,0.5,positif
"kapokk gak kapook pake aplikasinya, banyak banget permasalah mitra kerjanya. titik hanya beda sedikit pada pengantaran gofood langsung dikasihkan kepada rumah lain tanpa konfirmasi ke customer yang beli mana tidak merasa bersalah sama sekali. satu lagi pengemudi jaman sekarang banyak komplen, jika tidak ingin mengambil pesanan customer karena tidak sesuai ya gak usah diambil. jangan menggerutu.","i've never given up on using the application, there are so many problems with my partners. the only difference is that the gofood delivery is given directly to another house without confirmation from the customer who bought it and doesn't feel guilty at all. another thing is that many drivers nowadays complain, if they don't want to take a customer's order because it's not suitable, don't take it. don't grumble.",0.6916666666666668,0.05416666666666666,positif
"gojek harus evaluasi mitranya lagi nih. nyari driver hujan² susah bgt. padahal ordernya gocar, bukan goride. tp susah bgt dapetnya. kalo ttg aplikasinya sih, oke oke aja lah.","gojek must evaluate its partners again. it's really hard to find a driver in the rain. even though the order was gocar, not goride. but it's really hard to get it. as for the application, okay, that's fine.",0.5208333333333333,0.08333333333333333,positif
"makin sulit sekarang dapet driver gofood dikarenakan tarif nya terlalu kecil potongan 75% driver cuma dapet sisa nya doang kasian sekali, mending pindah ke oren sat set terus juga driver nerima lebih manusiawi","it's getting harder now to get gofood drivers because the rates are too small, the driver gets a 75% discount, only gets the rest, what a shame, it's better to move to the orange sat set and the drivers receive more humanely.",0.48,0.13,positif
cepet,fast,0.6,0.2,positif
komunikatif,communicative,0.0,0.0,netral
mantap,solid,0.1,0.0,netral
mempermudah,make it easier,0.0,0.0,netral
nyaman dan murah,comfortable and cheap,0.75,0.4,positif
sangat membantu,very helpful,0.3,0.2,positif
sangat membantu,very helpful,0.3,0.2,positif
bagi cs yg mau ngasih tip ke driver ntah brapapun itu mending langsung tunai...kl lewat aplikasi banyak di tilep nya sama aplikator,"for cs who want to give a tip to the driver, no matter what it is, it's best to cash it directly... when you go through the application, it is folded by the applicator",0.35,0.55,positif
sangat membantu pas klo perlu kendaraan di luar kota di manapun,very helpful when you need a vehicle outside the city anywhere,0.175,0.1,positif
oke terus tingkatkan pelayanan yaa,"ok, keep improving your service",0.5,0.5,positif
cepat penjemputan nya 👍,fast pick up 👍,0.6,0.2,positif
mantab bang,great bro,0.75,0.8,positif
"sangat mudah di akses,,","very easy to access,,",1.0,0.5633333333333334,positif
"tolong dong untuk gofood ""pembatalan pesan"" diperbaiki lagi kedepannya misal dikasih waktu 2-5 menit setidaknya. karena ketika tidak sengaja untuk melakukan pembelian pesanan terus ingin membatalkan pesanan lagi sudah tidak bisa karena cepatnya proses waktu ""pembatalan pesan"" tersebut. sebelumnya terimakasih dan mohon segera diperbaiki yaa","please fix the ""order cancellation"" for gofood in the future, for example, give it at least 2-5 minutes. because when you accidentally make a purchase, you then want to cancel the order again because you can't because of the fast processing time for ""order cancellation"". thank you in advance and please fix it immediately",0.375,-0.033333333333333326,negatif
"gak jelas, makanan belum sampai tp pesanan selesai, cs ny juga gk becus katanya sudah sesuai pesanan, tp gk bisa ngasih bukti foto pesanan di terima. yg ada malah driver ngirim foto jlan deket toko bukan depan toko saya.","it's not clear, the food hasn't arrived yet but the order is complete, the cs is also not good at saying it's according to the order, but can't provide photo proof of the order being received. the driver actually sent a photo of the road near the shop, not in front of my shop.",0.37666666666666665,-0.039999999999999994,negatif
bnyk bngt promo / diskon nya.... mantap,lots of promos/discounts... great,0.75,0.8,positif
pesen go ride drivernya jauh. pesen go food lama hampir sejam. orderannya dikendalikan sama operator. bukannya semakin baik pelayanannya malah makin ancur. karyawannya gk profesional.,"ordered a go ride, the driver was far away. ordered go food took almost an hour. the order is controlled by the operator. instead of getting better the service actually gets worse. the employees are not professional.",0.4600000000000001,0.029999999999999992,positif
good aplikasi maju jaya terus berikan hal yang terbaik untuk masyarakat indonesia,good maju jaya application continues to provide the best for the indonesian people,0.45000000000000007,0.85,positif
"kenapa ada sistem dobel order, sedangkan yg menunggu lama yg order tdk pake mode hemat.. harusnya yg di dobel order itu yg customer sama2 pake mode hemat biar adil. kasihan kita customer yg pake mode standar tarif ongkir sekian trima kasih!!!","why is there a double order system, while those who are waiting for a long time don't use economical mode... the customers who are double ordering should both use economical mode to be fair. we feel sorry for customers who use the standard shipping rate mode, thank you!!!",0.5125,0.09375,positif
akurat.aman dan tepat,"accurate, safe and precise",0.6444444444444445,0.4333333333333334,positif
sangat bersahabat dan mantab,very friendly and steady,0.575,0.32708333333333334,positif
brengsek .. cuma ngambil data doank ... udah q hapus smw produk dri goto .. termasuk tokped .. pdahal masih suka tokped .. sayang skali gabung ma go vlok,damn... it's just taking data... i've deleted smw products from goto.. including tokped.. even though i still like tokped.. it's a shame to join ma go vlok,0.0,0.0,netral
"kenapa saya gak bisa lacak gosend dari tokopedia lewat aplikasi gojek?padahal di inbox ada pesan lacak gosend tokopedia,tapi gak bisa dibuka..saya harus bagaimana?kalo saya buka tokopedia,saya lacak gosend nya gak langsung ke lacak,harus lewat browser dulu.tolong diperbaiki lagi🙏","why can't i track gosend from tokopedia via the gojek application? even though there is a message in my inbox, track gosend tokopedia, but it can't be opened... what should i do? if i open tokopedia, i can't track gosend directly to tracking, i have to go through the browser first. please fix it again🙏",0.41111111111111115,0.11666666666666665,positif
"dengan aplikasi ini kita lebih muda kemana2, mau pesan makan pas lg mager jg tinggal gofood aja. 😁","with this application, we can go anywhere more easily, if you want to order food when you're feeling lazy, just gofood. 😁",0.7777777777777778,0.22777777777777777,positif
aplikasi bangsattttttttt yg hanya membela pelanggannya dan selalu merugikan drivernya disegala aspek,a bastard application that only defends its customers and always harms its drivers in all aspects,1.0,0.0,netral
jasa transportasi murah dan hemat,cheap and economical transportation services,0.8,0.35,positif
keren byk promo membantu sekali buat sy yg tiap hari menggunakan apl gojek,"cool, lots of promos, really helpful for me who uses the gojek app every day",0.42500000000000004,0.275,positif
good,good,0.6000000000000001,0.7,positif
"senang pake gojek, drivernya baik dan sopan👍👍👍","i like using gojek, the drivers are kind and polite👍👍👍",0.9,0.6,positif
memudahkan kita dalam transfortasi dan belanja online,makes it easier for us to transport and shop online,0.0,0.0,netral
dengan menggunakan gojek.. kebutuhan rumah tangga jadi lebih mudah didapat.. terimakasih gojek,by using gojek... household needs become easier to get... thank you gojek,0.0,0.0,netral
"gojek buat pitur pinjaman ,pas diakses pertama disetujui , pinjaman ke 2 sudah ga disetujui , apa alasannya tidak di kasih tau , cuma di janji2 kan aja bulan depan..ini pembohongan publik....lebih bagus di hapus fitur pinjamannya...trims","gojek made a loan feature, the first time it was accessed it was approved, the second loan was not approved, the reason was not told, it was just promised next month... this is a lie to the public... it would be better to remove the loan feature... thanks",0.18333333333333332,0.15833333333333333,positif
mantap,solid,0.1,0.0,netral
"bagus,minta tolong lebih banyak promo supaya bisa menikmati perjalanan dengan hemat dan nyaman terima kasih","good, please help with more promos so you can enjoy your trip economically and comfortably, thank you",0.6599999999999999,0.4600000000000001,positif
"tambah bertingkah driver gojek sekarang,,pada ngotak driver ojol nya.","gojek drivers are acting even more now, actually messing with their motorbike taxi drivers.",0.19999999999999998,0.16666666666666666,positif
iklan lu ganggu banget t**,your ads are really annoying t**,0.9,-0.8,negatif
lagi mahal bingit pesen gofood.percuma beli2 goplus sama aja mahal2 juga dan harus beli 2 or 3 paket makanan🤦‍♀️murahan di toko oyen 😬😶‍🌫️ lama2 orang2 pindah ke toko oyen shaay!,it's more expensive to order gofood. free buy 2 goplus it's just as expensive and you have to buy 2 or 3 food packages 🤦 ♀️ cheap at the oyen store 😬😶 🌫️ a long time ago people moved to the oyen store shaay!,0.6333333333333334,0.03958333333333334,positif
selama pakai gojek driver semuanya ramah jujur sikapnya,while using gojek the drivers are all friendly and honest in their attitude,0.7,0.4875,positif
tepat waktu,on time,0.0,0.0,netral
👍,👍,0.0,0.0,netral
selama ini masih memuaskan,so far it's still satisfying,1.0,0.3,positif
"pokokna reaksi cepat mantefff dehsemua pelayanan driver, kebersihan ok","basically, fast reaction, great, all driver service, cleanliness is ok",0.6166666666666667,0.5,positif
"aplikasi tolol, customer gabisa chat resto","stupid application, customers can't chat with the restaurant",1.0,-0.7999999999999999,negatif
mantap...lancar aplikasi nya.,great... the application runs smoothly.,0.625,0.6000000000000001,positif
gojek sekarang penjemputan nya super lamaaa,gojek now takes super long pick up,0.5333333333333333,0.14166666666666666,positif
ok yess,ok yess,0.5,0.5,positif
good,good,0.6000000000000001,0.7,positif
aplikasinya jelek,the application is bad,0.6666666666666666,-0.6999999999999998,negatif
percobaan,test,0.0,0.0,netral
layanan cepat,fast service,0.6,0.2,positif
selalu repeat order goride dan gocar mempermudah saat diperlukan driver dan rider baik baik dan sopan,always repeat orders for gorides and gocars to make things easier when good and polite drivers and riders are needed,0.6000000000000001,0.7,positif
ribet gak bisa masuk,"complicated, can't get in",1.0,-0.5,negatif
hai para customer klo bs order food y reguler jgn order pket hemat krn klo kita order hemat y di terima driver cm 5rb sedangkan kita byr normal krn sy sedih liat driver argo food y di terima driver g sebanding ...sembako naik dll sedangkan tarif ojol makin turun .. terimakasih,"hi customers, if you can order regular food, don't order the economical package because if we order the economical package, the driver will receive cm 5 thousand, while we pay the normal price because i'm sad to see that the driver accepts the food meter which is not comparable...grocery food increases, etc., while the motorbike taxi fare it's getting lower... thank you",0.7053846153846154,0.05,positif
"selalu terbantu, hanya saja kalau pas jam sibuk atau cuaca hujan deras, aplikasi sering trouble","it's always helpful, it's just that during rush hour or heavy rainy weather, the application often has trouble",0.35,-0.2,negatif
koreksi u gojek tlg pelayanan lbh di perhatikan ketika customer memilih gojek comfort ya hrs yg dtg mobil baru krn kita milih kenyamanan dgn hrg yg sesuai jgn yg dtg mbl biasa ac g seberapa dingin hrg ttp yg comfort jd kecewa. lebih ke manajemen nya aja di pantau lg u kriteria2 yg di tampilkan u customer,"correction for gojek, please pay more attention to service when customers choose gojek comfort, it has to be the one with a new car because we choose comfort with the right price, not the one that comes with a regular air conditioner, no matter how cold the price is, but the comfort one will be disappointed. it's more about management and monitoring the criteria presented to customers",0.5453118310261168,0.010296846011131724,positif
"setelah di update kenapa dapet drivernya selalu jauh ya, saya tau kalo ada sistem prioritas tapi ini juga kasian buat para drivernya kalo lokasi nya terlalu jauh, sering banget dapet yg jauh jauh itu tolong dibenahi lagi sistem nya terimakasih","after the update, why do you always get drivers far away? i know there is a priority system, but it's also a shame for the drivers if the location is too far, you often get far away, please improve the system, thank you",1.0,0.10000000000000002,positif
para drivernya ramah bgt,the drivers are very friendly,0.65,0.48750000000000004,positif
good,good,0.6000000000000001,0.7,positif
"susah banget sekarang kalo pesen goride dapet drivernya, sekalinya dapet lokasi driver jauh dr lokasi pickup(jemput customer)","it's really difficult now if you order goride to get a driver, sometimes the driver's location is far from the pickup location (picking up customers)",1.0,-0.2,negatif
okeh,okay,0.5,0.5,positif
"buka gojeknya lambat padahal buka aplikasi lain lancar2 aja, promo tidak ada yang menarik, mohon dilakukan optimalisasi lagi","opening gojek is slow even though opening other applications is smooth, there are no interesting promotions, please optimize again",0.44375,-0.06875,negatif
the best gojek,the best gojek,0.3,1.0,positif
"nggak tau sih ini bnr apa ngga. tp dgr dr driver kalo bintang sy jelek. sy ga tau nih knp bs jelek dan bnr ga ada bintang. tp sebelumnya sy diminta 2-3 driver untuk cancel pesanan lha krn lg buru2 sy batalin. setelah itu mmg semakin lama menunggu driver. saran.. kalau mmg ada penilaian, tolong dilihat jg alasan pembatalan. kan alasannya krn driver yg minta semua. pdhl biayanya mahal. jarak jg tidak terlampau jauh.","i don't know if this is true or not. but the driver heard that my star was bad. i don't know why it can be so bad and there really aren't any stars. but previously i was asked by 2-3 drivers to cancel the order because i was in a hurry to cancel it. after that, the wait for the driver took longer. suggestion... if there is an assessment, please also look at the reason for the cancellation. the reason is because the driver asks for everything. even though the cost is expensive. the distance isn't too far either.",0.5785714285714285,-0.20238095238095236,negatif
gojeg keren penjemputan cepat,gojeg cool fast pickup,0.625,0.275,positif
ok,ok,0.5,0.5,positif
mohon aplikasi nya buat pilih drever cewek atau cowok gitu loh bozque sy yg mbokdhe mbokdhe bisa dpt drever cewek kalau dpt drever cowok naik nya canggung mohon diperhatikan lg ya buat keyamanan castamer layanan buat pilih drever sesuai kebutuhan,please the application to choose a driver girl or guy gitu loh bozque i who mbokdhe mbokdhe can get a girl driver if you get a guy driver ride it awkward please note again yes for safety castamer service to choose drever according to need,1.0,-0.6,negatif
okey,okey,0.0,0.0,netral
amazing,amazing,0.9,0.6000000000000001,positif
tepat waktu,on time,0.0,0.0,netral
cukup baik buat hal apa pun baik dari pesan atow yg lain nyah,"it's good enough for anything, whether from messages or anything else",0.55,0.35,positif
"pesen gocar di cancel mulu, pada ga niat kerja apa gimana","orders for gocars were canceled all the time, they didn't intend to do any work",0.0,0.0,netral
selalu ada promo tiap minggunya,there are always promotions every week,0.0,0.0,netral
ok,ok,0.5,0.5,positif
baik bagus ramah the best pokok nya,good good friendly the best tree,0.5,0.69375,positif
woi min kasih gratis donk gojek,"hey, min, give it to me for free, please gojek",0.8,0.4,positif
pelayanan sangat bagus,very good service,0.7800000000000001,0.9099999999999999,positif
aplikasi ini makin lama makin mahal saya masih bintang satu karna banyak kode voucher tidak bisa di gunakan saya harap dengan kode kode voucher yg bisa di gunakan bisa membantu semua org yg khusus nya kekurangan uang untuk berpergian,"this application is getting more and more expensive, i still have one star because many of the voucher codes cannot be used. i hope that the voucher codes that can be used can help all people who specifically lack money to travel.",0.55,0.25,positif
bagus,good,0.6000000000000001,0.7,positif
"malasnyoooo, pasti selalu dpt driver yg jauh dri posisi jemput. pdhl udh pakai yg regulerr","i'm lazy, i always get a driver who is far from the pick up position. even though i'm already using the regular one",0.6923076923076924,-0.049999999999999996,negatif
mantap,solid,0.1,0.0,netral
driver kendaran mobil b 1950 dkv kya k*nt*l,driver of a car b 1950 dkv kya k*nt*l,0.0,0.0,netral
gampang dan mudah berbelanja,easy and simple shopping,0.5952380952380952,0.21666666666666667,positif
terus maju gojek,keep going gojek,0.0,0.0,netral
iklan luuuu ganggu bangettttttttt. tau ganggu gak? gak bakalan di download ama org kalo ganggu gitu. sakit. gws deh gojek,your ads are really annoying. you know what's annoying or not? people won't download it if it's annoying like that. sick. i'm going to gojek,0.8892857142857143,-0.7785714285714287,negatif
suiii,suiii,0.0,0.0,netral
